CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{36F77A02-3292-40BD-927F-5AA88FD650A9}\.be\windowsdesktop-runtime-9.0.2-win-x64.exe,AppCompatCache,2025-03-10 01:50:09.1067545
15,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{97DD340E-9EFF-47E2-B0CF-13409014463C}\.cr\windowsdesktop-runtime-9.0.2-win-x64.exe,AppCompatCache,2025-03-10 01:50:07.4911382
16,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\windowsdesktop-runtime-9.0.2-win-x64.exe,AppCompatCache,2025-03-10 01:47:35.8576857
17,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\RegistryExplorer\RegistryExplorer\RegistryExplorer.exe,AppCompatCache,2025-01-12 18:34:16.0000000
18,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$WINDOWS.~BT\Sources\SetupHost.Exe,AppCompatCache,2025-02-08 00:25:38.0000000
19,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\414caae80a87283be9d5ee4e525d938f\WindowsUpdateBox.Exe,AppCompatCache,2025-03-10 01:39:58.5140613
20,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.423.304.0.exe,AppCompatCache,2025-03-10 01:36:02.8380186
21,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	57e5057900070000	000a0000585d0000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,AppCompatCache,
22,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22501.1401.7.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2025-03-09 08:49:59.5493978
23,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	57e5057900070000	0000000000000000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,AppCompatCache,
24,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2412.16.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,AppCompatCache,2025-03-09 08:50:25.6567740
25,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d0ca3	0000000000000000	8664	Microsoft.LockApp	cw5n1h2txyewy	,AppCompatCache,
26,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\Taskmgr.exe,AppCompatCache,2025-02-20 06:57:01.4272132
27,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\launchtm.exe,AppCompatCache,2025-02-20 06:57:01.4960376
28,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Programs\Python\Python37\Scripts\pyinstaller.exe,AppCompatCache,2025-03-09 12:33:30.7462813
29,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Programs\Python\Python37\Scripts\pip.exe,AppCompatCache,2025-03-09 12:48:35.9454677
30,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Programs\Python\Python37\pythonw.exe,AppCompatCache,2018-06-27 12:01:40.0000000
31,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001001901540000	0000000000000000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,AppCompatCache,
32,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.25.340.0_x64__8wekyb3d8bbwe\AppInstallerPythonRedirector.exe,AppCompatCache,2025-03-09 08:50:03.6728168
33,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001001901540000	000a0000585d0000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,AppCompatCache,
34,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{718EAD3C-A3D7-496A-9C15-F0E622C74056}\.cr\python-3.7.0-amd64.exe,AppCompatCache,2025-03-09 12:26:33.9559145
35,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{59CFB9F2-E7EE-4F79-B6E0-60A82C467FC4}\.cr\python-3.7.0-amd64.exe,AppCompatCache,2025-03-09 12:26:08.3301011
36,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{75F5BDCD-3798-44AA-AA97-A6983BAFFD70}\.cr\python-3.7.0-amd64.exe,AppCompatCache,2025-03-09 12:23:14.1331020
37,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\SystemPropertiesAdvanced.exe,AppCompatCache,2022-05-07 05:19:12.5316286
38,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Programs\Python\Python37\python.exe,AppCompatCache,2018-06-27 12:01:38.0000000
39,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{074E74B7-D219-4FA1-8784-044FE7D02473}\.be\python-3.7.0-amd64.exe,AppCompatCache,2025-03-09 12:18:25.0666492
40,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\{D84514B3-E814-4147-8CCB-137A7E2C78AA}\.cr\python-3.7.0-amd64.exe,AppCompatCache,2025-03-09 12:18:12.6857160
41,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\python-3.7.0-amd64.exe,AppCompatCache,2025-03-09 12:18:10.8413287
42,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\CompPkgSrv.exe,AppCompatCache,2025-02-20 06:55:35.1368684
43,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\CredentialUIBroker.exe,AppCompatCache,2025-02-20 06:57:09.4418784
44,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\mstsc.exe,AppCompatCache,2025-02-20 06:59:01.0363930
45,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\lab3\dist\try2.exe,AppCompatCache,2025-03-09 13:58:10.6317679
46,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-NKJBM.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,AppCompatCache,2025-03-09 11:43:38.3551297
47,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\134.0.3124.51\identity_helper.exe,AppCompatCache,2025-03-05 19:00:58.3915919
48,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\134.0.3124.51\elevation_service.exe,AppCompatCache,2025-03-05 19:00:46.7195248
49,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\mode.com,AppCompatCache,2022-05-07 05:20:03.8422281
50,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\print.exe,AppCompatCache,2022-05-07 05:20:03.8422281
51,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\RECmd\RECmd\RECmd.exe,AppCompatCache,2025-01-15 20:21:33.3854481
52,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096c00100000	0000000000000000	8664	Microsoft.WindowsNotepad	8wekyb3d8bbwe	,AppCompatCache,
53,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096c00100000	000a0000585d0000	8664	Microsoft.WindowsNotepad	8wekyb3d8bbwe	,AppCompatCache,
54,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\OneDriveLauncher.exe,AppCompatCache,2025-03-09 05:54:32.3896928
55,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.423.302.0.exe,AppCompatCache,2025-03-09 10:01:21.7446885
56,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\MpCmdRun.exe,AppCompatCache,2025-03-09 06:04:24.9040000
57,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-NKHUE.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,AppCompatCache,2025-03-09 09:53:13.9356585
58,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e92b0c2af90000	000a0000585d0000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,AppCompatCache,
59,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d0ca3	000a000000000000	8664	Microsoft.LockApp	cw5n1h2txyewy	,AppCompatCache,
60,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	57e5057900070000	000a000065f40000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,AppCompatCache,
61,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d09ca	0000000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,AppCompatCache,
62,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d09ca	000a000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,AppCompatCache,
63,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.YourPhone_0.25012.107.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2025-03-09 08:49:55.0348611
64,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d1099	0000000000000000	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral,AppCompatCache,
65,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d1099	000a0000585d1099	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral,AppCompatCache,
66,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000061b4006b0000	0000000000000000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,AppCompatCache,
67,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000061b4006b0000	000a0000585d0000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,AppCompatCache,
68,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e858ac041f0000	0000000000000000	8664	MicrosoftWindows.Client.CBS	cw5n1h2txyewy	,AppCompatCache,
69,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d1099	0000000000000000	8664	Microsoft.Windows.StartMenuExperienceHost	cw5n1h2txyewy	neutral,AppCompatCache,
70,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e858ac041f0000	000a00007fff0000	8664	MicrosoftWindows.Client.CBS	cw5n1h2txyewy	,AppCompatCache,
71,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a0000585d1099	000a0000585d1099	8664	Microsoft.Windows.StartMenuExperienceHost	cw5n1h2txyewy	neutral,AppCompatCache,
72,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e858ac03e80000	000a00007fff0000	8664	MicrosoftWindows.Client.FileExp	cw5n1h2txyewy	,AppCompatCache,
73,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e858ac03f40000	000a00007fff0000	8664	MicrosoftWindows.Client.Core	cw5n1h2txyewy	,AppCompatCache,
74,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0fa0051d08080000	000c000000000000	8664	Microsoft.WindowsAppRuntime.CBS	8wekyb3d8bbwe	,AppCompatCache,
75,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000809640bb90000	000a000047ba0000	8664	Microsoft.UI.Xaml.CBS	8wekyb3d8bbwe	,AppCompatCache,
76,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.TwinSxS	cw5n1h2txyewy	,AppCompatCache,
77,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.SpeechRuntime	cw5n1h2txyewy	,AppCompatCache,
78,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.RulesEngine	cw5n1h2txyewy	,AppCompatCache,
79,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.IrisService	cw5n1h2txyewy	,AppCompatCache,
80,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.DesktopSpotlight	cw5n1h2txyewy	,AppCompatCache,
81,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.AccountsService	cw5n1h2txyewy	,AppCompatCache,
82,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	1770010a07e90000	000c000000000000	8664	Microsoft.WindowsAppRuntime.CBS.1.6	8wekyb3d8bbwe	,AppCompatCache,
83,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Programs\Microsoft VS Code\tools\inno_updater.exe,AppCompatCache,2025-03-05 05:00:14.0000000
84,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\NisSrv.exe,AppCompatCache,2025-03-09 06:04:25.0140000
85,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\MsMpEng.exe,AppCompatCache,2025-03-09 06:04:24.9830000
86,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\MpDefenderCoreService.exe,AppCompatCache,2025-03-09 06:04:24.9360000
87,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SystemTemp\63B3DB96-5E11-4F72-9592-207F39F0A004\MpRecovery.exe,AppCompatCache,2025-03-09 06:04:24.9670000
88,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SystemTemp\63B3DB96-5E11-4F72-9592-207F39F0A004\MpSigStub.exe,AppCompatCache,2025-03-09 06:04:24.9830000
89,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\UpdatePlatform.amd64fre.exe,AppCompatCache,2025-03-09 06:04:23.8701136
90,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\regedit.exe,AppCompatCache,2025-02-20 06:58:56.3254734
91,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\notepad.exe,AppCompatCache,2025-02-20 06:59:59.3005930
92,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\HelpPane.exe,AppCompatCache,2025-02-20 06:58:42.3676697
93,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\hh.exe,AppCompatCache,2022-05-07 05:20:06.1862667
94,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\bfsvc.exe,AppCompatCache,2025-02-20 06:55:36.4049142
95,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\133.0.3065.92\msedgewebview2.exe,AppCompatCache,2025-02-27 06:50:41.7089579
96,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.225.2131.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe,AppCompatCache,2025-02-24 13:25:26.6464962
97,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.225.2131.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2025-02-24 13:25:29.6383311
98,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000700e108530000	0000000000000000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,AppCompatCache,
99,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001001862700000	0000000000000000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,AppCompatCache,
100,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.24.25200.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe,AppCompatCache,2025-02-20 06:45:02.2872715
101,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-IILJP.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,AppCompatCache,2025-03-09 05:56:29.2627972
102,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\vscode-stable-user-x64\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.exe,AppCompatCache,2025-03-09 05:56:27.5741897
103,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{F52AB937-E930-4064-8752-1E90870B8420}\EDGEMITMP_0864D.tmp\setup.exe,AppCompatCache,2025-03-09 05:56:20.7549425
104,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{F52AB937-E930-4064-8752-1E90870B8420}\MicrosoftEdge_X64_133.0.3065.92_133.0.3065.82.exe,AppCompatCache,2025-03-09 05:56:19.7675274
105,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\134.0.3124.51\Installer\setup.exe,AppCompatCache,2025-03-09 05:55:21.2839323
106,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$RDORDNU.exe,AppCompatCache,2025-02-20 06:09:26.3167217
107,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$RVIOJX9.exe,AppCompatCache,2025-02-20 06:54:10.9607454
108,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$R4O94PI.exe,AppCompatCache,2025-02-18 05:10:15.5903375
109,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{865BC559-CEE5-4B0E-B48A-5CE55E0E63CC}\EDGEMITMP_D526C.tmp\setup.exe,AppCompatCache,2025-03-09 05:55:21.2839323
110,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{865BC559-CEE5-4B0E-B48A-5CE55E0E63CC}\MicrosoftEdge_X64_134.0.3124.51_133.0.3065.82.exe,AppCompatCache,2025-03-09 05:55:18.9070900
111,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Engine_Patch_1.1.25010.7.exe,AppCompatCache,2025-03-09 05:54:46.2847700
112,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\Microsoft.SharePoint.exe,AppCompatCache,2025-03-09 05:54:31.7786630
113,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\FileCoAuth.exe,AppCompatCache,2025-03-09 05:54:30.3351534
114,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\FileSyncConfig.exe,AppCompatCache,2025-03-09 05:54:30.5387762
115,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.195.45\MicrosoftEdgeUpdateComRegisterShell64.exe,AppCompatCache,2025-03-09 05:54:23.1158392
116,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Temp\EU970F.tmp\MicrosoftEdgeUpdate.exe,AppCompatCache,2025-03-09 05:54:23.0996672
117,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C6864819-B797-4A4A-A9B8-5829BB0F2CAF}\MicrosoftEdgeUpdateSetup_X86_1.3.195.45.exe,AppCompatCache,2025-03-09 05:54:22.2686682
118,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\ModifiedFiles\File001.exe,AppCompatCache,2025-02-27 05:22:43.5636880
119,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.020.0202.0001\Microsoft.SharePoint.exe,AppCompatCache,2025-02-27 05:26:52.0165282
120,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.020.0202.0001\FileCoAuth.exe,AppCompatCache,2025-02-27 05:26:47.8554824
121,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.020.0202.0001\FileSyncConfig.exe,AppCompatCache,2025-02-27 05:26:49.5708999
122,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\DataExchangeHost.exe,AppCompatCache,2025-02-20 06:58:39.2966316
123,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\HxD\unins000.exe,AppCompatCache,2025-02-24 13:31:13.2806926
124,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\HxD\HxD.exe,AppCompatCache,2021-02-11 06:20:12.0000000
125,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-VH603.tmp\HxDSetup.tmp,AppCompatCache,2025-02-24 13:31:13.2806926
126,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-OAF1K.tmp\HxDSetup.tmp,AppCompatCache,2025-02-24 13:31:08.4219958
127,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\HxDSetup\HxDSetup.exe,AppCompatCache,2021-02-11 06:27:58.0000000
128,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\SecureBootEncodeUEFI.exe,AppCompatCache,2025-02-20 06:58:21.4160998
129,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000700e108530000	000a000055f00000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,AppCompatCache,
130,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001209c604aa0000	000a000065f40000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	,AppCompatCache,
131,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001000005540000	000a00004a610000	8664	Microsoft.PowerAutomateDesktop	8wekyb3d8bbwe	,AppCompatCache,
132,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\Windows-KB890830-x64-V5.132.exe,AppCompatCache,2025-02-24 05:23:07.0636207
133,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096a00150000	0000000000000000	8664	Microsoft.WindowsNotepad	8wekyb3d8bbwe	,AppCompatCache,
134,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2410.21.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,AppCompatCache,2025-02-20 07:01:31.8233695
135,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\OpenWith.exe,AppCompatCache,2025-02-20 06:57:33.8824773
136,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.423.74.0.exe,AppCompatCache,2025-02-24 12:43:10.4377034
137,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.015.0126.0002\OneDriveLauncher.exe,AppCompatCache,2025-02-24 11:05:48.1289256
