Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
sffp_sd,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,SFF Storage Protocol Driver for SDBus,Manual,KernelDriver,2010-11-21 03:29:32.8362940,2010-11-21 03:29:32.8362940,,\SystemRoot\system32\drivers\sffp_sd.sys,,
sfloppy,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,High-Capacity Floppy Disk Drive,Manual,KernelDriver,2010-11-21 03:58:13.7615416,,,\SystemRoot\system32\drivers\sfloppy.sys,,
SharedAccess,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\ipnathlp.dll,-107",None,"@%SystemRoot%\system32\ipnathlp.dll,-106",Disabled,Win32ShareProcess,2009-07-14 04:49:01.6303883,2009-07-14 04:49:01.6303883,,%SystemRoot%\System32\svchost.exe -k netsvcs,%SystemRoot%\System32\ipnathlp.dll,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeLoadDriverPrivilege SeTakeOwnershipPrivilege
ShellHWDetection,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\System32\shsvcs.dll,-12289",None,"@%SystemRoot%\System32\shsvcs.dll,-12288",Automatic,Win32ShareProcess,2009-07-14 04:49:01.6303883,2009-07-14 04:49:01.6303883,ShellSvcGroup,%SystemRoot%\System32\svchost.exe -k netsvcs,%SystemRoot%\System32\shsvcs.dll,SeImpersonatePrivilege
SiSRaid2,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0716414,2009-07-14 04:49:01.6303883,SCSI Miniport,\SystemRoot\system32\drivers\SiSRaid2.sys,,
SiSRaid4,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0560414,2009-07-14 04:49:01.6303883,SCSI Miniport,\SystemRoot\system32\drivers\sisraid4.sys,,
Smb,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\tcpipcfg.dll,-50006",None,"@%SystemRoot%\system32\tcpipcfg.dll,-50005",Manual,KernelDriver,2009-07-14 04:53:57.0896731,,PNP_TDI,system32\DRIVERS\smb.sys,,
SMSvcHost 3.0.0.0,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2009-07-14 04:49:01.6303883,,,,,
SMSvcHost 4.0.0.0,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Disabled,Adapter,2025-03-10 06:02:52.1841365,,,,,
SNMPTRAP,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\snmptrap.exe,-4",None,"@%SystemRoot%\system32\snmptrap.exe,-3",Manual,Win32OwnProcess,2009-07-14 04:49:01.6303883,,,%SystemRoot%\System32\snmptrap.exe,,SeChangeNotifyPrivilege
spldr,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,Security Processor Loader Driver,Boot,KernelDriver,2025-03-10 05:59:07.5312000,,,,,
Spooler,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\spoolsv.exe,-2",None,"@%systemroot%\system32\spoolsv.exe,-1",Automatic,"Win32OwnProcess, InteractiveProcess",2009-07-14 04:49:01.6303883,,SpoolerGroup,%SystemRoot%\System32\spoolsv.exe,,SeTcbPrivilege SeImpersonatePrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeAssignPrimaryTokenPrivilege SeLoadDriverPrivilege
sppsvc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\sppsvc.exe,-100",None,"@%SystemRoot%\system32\sppsvc.exe,-101",Automatic,Win32OwnProcess,2009-07-14 04:49:01.6303883,,,%SystemRoot%\system32\sppsvc.exe,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
sppuinotify,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\sppuinotify.dll,-102",None,"@%SystemRoot%\system32\sppuinotify.dll,-103",Manual,Win32ShareProcess,2009-07-14 04:49:01.6303883,2009-07-14 04:49:01.6303883,,%SystemRoot%\system32\svchost.exe -k LocalService,%SystemRoot%\system32\sppuinotify.dll,SeChangeNotifyPrivilege SeImpersonatePrivilege
srv,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\srvsvc.dll,-103",None,"@%systemroot%\system32\srvsvc.dll,-102",Manual,FileSystemDriver,2025-03-10 05:59:07.5312000,,Network,System32\DRIVERS\srv.sys,,
srv2,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\srvsvc.dll,-105",None,"@%systemroot%\system32\srvsvc.dll,-104",Manual,FileSystemDriver,2025-03-10 05:59:07.5312000,,Network,System32\DRIVERS\srv2.sys,,
srvnet,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,FileSystemDriver,2025-03-10 05:59:07.5312000,,Network,System32\DRIVERS\srvnet.sys,,
SSDPSRV,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%systemroot%\system32\ssdpsrv.dll,-101",None,"@%systemroot%\system32\ssdpsrv.dll,-100",Manual,Win32ShareProcess,2009-07-14 04:49:01.6303883,2009-07-14 04:49:01.6303883,,%SystemRoot%\system32\svchost.exe -k LocalServiceAndNoImpersonation,%SystemRoot%\System32\ssdpsrv.dll,SeChangeNotifyPrivilege SeCreateGlobalPrivilege
SstpSvc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\sstpsvc.dll,-201",None,"@%SystemRoot%\system32\sstpsvc.dll,-200",Manual,Win32ShareProcess,2009-07-14 04:49:01.6303883,2009-07-14 04:49:26.6528323,,%SystemRoot%\system32\svchost.exe -k LocalService,%SystemRoot%\system32\sstpsvc.dll,SeChangeNotifyPrivilege
stexstor,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,,None,,Manual,KernelDriver,2025-02-05 01:01:10.0560414,2009-07-14 04:49:01.6303883,SCSI Miniport,\SystemRoot\system32\drivers\stexstor.sys,,
stisvc,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\services,"@%SystemRoot%\system32\wiaservc.dll,-10",None,"@%SystemRoot%\system32\wiaservc.dll,-9",Manual,Win32OwnProcess,2009-07-14 04:49:01.6459884,2009-07-14 04:49:01.6459884,,%SystemRoot%\system32\svchost.exe -k imgsvc,%SystemRoot%\System32\wiaservc.dll,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
