Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:29:56.2511746,\Device\HarddiskVolume3\Windows\explorer.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Microsoft VS Code\Code.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:29:15.8667882,\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Microsoft VS Code\Code.exe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:37:04.5995982,Microsoft.WindowsStore_8wekyb3d8bbwe
Microsoft.WindowsTerminal_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:30:42.0360005,Microsoft.WindowsTerminal_8wekyb3d8bbwe
Microsoft.WindowsNotepad_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:18:47.9955352,Microsoft.WindowsNotepad_8wekyb3d8bbwe
Microsoft.Windows.Photos_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:32:47.5057401,Microsoft.Windows.Photos_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:49:39.2569686,\Device\HarddiskVolume3\Windows\System32\cmd.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-IILJP.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 06:13:35.6717788,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-IILJP.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:49:26.2268416,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:40:44.2068477,\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Microsoft\OneDrive\OneDrive.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:40:45.3793272,\Device\HarddiskVolume3\Users\hans\AppData\Local\Microsoft\OneDrive\OneDrive.exe
\Device\HarddiskVolume3\Windows\System32\Speech\SpeechUX\SpeechUXWiz.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:00:57.7356116,\Device\HarddiskVolume3\Windows\System32\Speech\SpeechUX\SpeechUXWiz.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-JM092.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:14:34.2896893,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-JM092.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-NKHUE.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:33:08.3398508,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-NKHUE.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:05:30.5848768,\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-NKJBM.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:27:49.2977454,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-NKJBM.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Windows\System32\mstsc.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 14:05:33.3710628,\Device\HarddiskVolume3\Windows\System32\mstsc.exe
\Device\HarddiskVolume3\Windows\System32\CredentialUIBroker.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 13:49:20.3371883,\Device\HarddiskVolume3\Windows\System32\CredentialUIBroker.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{D84514B3-E814-4147-8CCB-137A7E2C78AA}\.cr\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:18:55.9159267,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{D84514B3-E814-4147-8CCB-137A7E2C78AA}\.cr\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{074E74B7-D219-4FA1-8784-044FE7D02473}\.be\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:18:55.8806206,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{074E74B7-D219-4FA1-8784-044FE7D02473}\.be\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Windows\System32\SystemPropertiesAdvanced.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:32:33.6249412,\Device\HarddiskVolume3\Windows\System32\SystemPropertiesAdvanced.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{75F5BDCD-3798-44AA-AA97-A6983BAFFD70}\.cr\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:23:27.0471698,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{75F5BDCD-3798-44AA-AA97-A6983BAFFD70}\.cr\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{59CFB9F2-E7EE-4F79-B6E0-60A82C467FC4}\.cr\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:26:33.1274402,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{59CFB9F2-E7EE-4F79-B6E0-60A82C467FC4}\.cr\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{718EAD3C-A3D7-496A-9C15-F0E622C74056}\.cr\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:27:03.7799095,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{718EAD3C-A3D7-496A-9C15-F0E622C74056}\.cr\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Python\Python37\python.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:49:39.3986108,\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Python\Python37\python.exe
\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:43:02.2007064,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe
\Device\HarddiskVolume3\Windows\System32\OpenWith.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 13:53:27.6169523,\Device\HarddiskVolume3\Windows\System32\OpenWith.exe
\Device\HarddiskVolume3\Users\hans\Downloads\RegistryExplorer\RegistryExplorer\RegistryExplorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 02:07:20.3279833,\Device\HarddiskVolume3\Users\hans\Downloads\RegistryExplorer\RegistryExplorer\RegistryExplorer.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{97DD340E-9EFF-47E2-B0CF-13409014463C}\.cr\windowsdesktop-runtime-9.0.2-win-x64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:50:15.9167082,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{97DD340E-9EFF-47E2-B0CF-13409014463C}\.cr\windowsdesktop-runtime-9.0.2-win-x64.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{36F77A02-3292-40BD-927F-5AA88FD650A9}\.be\windowsdesktop-runtime-9.0.2-win-x64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:50:15.9010003,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{36F77A02-3292-40BD-927F-5AA88FD650A9}\.be\windowsdesktop-runtime-9.0.2-win-x64.exe
\Device\HarddiskVolume3\Windows\System32\DataExchangeHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:31:39.0012116,\Device\HarddiskVolume3\Windows\System32\DataExchangeHost.exe
\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\gkape.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:24:39.7804004,\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\gkape.exe
\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\kape.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:49:25.3523589,\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\kape.exe
Microsoft.ScreenSketch_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:40:32.5740992,Microsoft.ScreenSketch_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\System32\dwm.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-90-0-1,2025-03-09 11:40:36.2317050,\Device\HarddiskVolume3\Windows\System32\dwm.exe
