Hive,HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Video,RegExpandSz,%USERPROFILE%\Videos,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,NetHood,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Network Shortcuts,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Personal,RegExpandSz,%USERPROFILE%\Documents,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,PrintHood,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Printer Shortcuts,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Programs,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu\Programs,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Recent,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Recent,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,SendTo,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\SendTo,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Start Menu,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Startup,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Templates,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Templates,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,User Shell Folders,User Activity,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,{374DE290-123F-4565-9164-39C4925E467B},RegExpandSz,%USERPROFILE%\Downloads,,,Displays where a user's Shell folders are mapped to,False,False,2022-05-07 05:28:18.8397496,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Run (NTUSER),Autoruns,ROOT\Software\Microsoft\Windows\CurrentVersion\Run,OneDriveSetup,RegSz,C:\Windows\System32\OneDriveSetup.exe /thfirstsetup,,,Program execution upon successful user logon,False,False,2025-02-05 00:08:29.2033491,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Google Chrome,Web Browsers,ROOT\Software\Google\Chrome,,,,,,Google Chrome Registry artifacts,True,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Google Chrome,Web Browsers,ROOT\Software\Google\Chrome\NativeMessagingHosts,,,,,,Google Chrome Registry artifacts,True,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Google Chrome,Web Browsers,ROOT\Software\Google\Chrome\NativeMessagingHosts\com.microsoft.browsercore,(default),RegSz,C:\Windows\BrowserCore\manifest.json,,,Google Chrome Registry artifacts,True,False,2025-02-05 00:08:29.2033491,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Anchor Underline,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Cache_Update_Frequency,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Disable Script Debugger,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,DisableScriptDebuggerIE,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Display Inline Images,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Do404Search,RegBinary,01-00-00-00,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Local Page,RegSz,%11%\blank.htm,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Save_Session_History_On_Exit,RegSz,no,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Search Page,RegSz,http://go.microsoft.com/fwlink/?LinkId=54896,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Show_FullURL,RegSz,no,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Show_StatusBar,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Show_ToolBar,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Show_URLinStatusBar,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Show_URLToolBar,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,Use_DlgBox_Colors,RegSz,yes,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,UseClearType,RegSz,no,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
NTUSER,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Users\Default\NTUSER.DAT,NtUser,Internet Explorer,Web Browsers,ROOT\Software\Microsoft\Internet Explorer\Main,XMLHTTP,RegDword,1,,,Internet Explorer Registry artifacts,False,False,2022-05-07 05:28:18.8553797,
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Account\Users,V,(plugin),Username: Administrator Id: 500 ValidUserId: True,Created: 2025-02-05 00:10:44.9783902 Last login:  Last password change:  Last incorrect password:  Expires on: ,"Account flags: AccountDisabled, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 08:35:29.0046183,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_UserAccounts__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Account\Users,V,(plugin),Username: Guest Id: 501 ValidUserId: True,Created: 2025-02-05 00:10:44.9783902 Last login:  Last password change:  Last incorrect password:  Expires on: ,"Account flags: AccountDisabled, PasswordNotRequired, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 08:35:29.0046183,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_UserAccounts__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Account\Users,V,(plugin),Username: DefaultAccount Id: 503 ValidUserId: True,Created: 2025-02-05 00:10:44.9783902 Last login:  Last password change:  Last incorrect password:  Expires on: ,"Account flags: AccountDisabled, PasswordNotRequired, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 08:35:29.0046183,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_UserAccounts__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Account\Users,V,(plugin),Username: WDAGUtilityAccount Id: 504 ValidUserId: True,Created: 2025-02-05 00:10:44.9783902 Last login:  Last password change: 2025-02-05 00:08:55.5567130 Last incorrect password:  Expires on: ,"Account flags: AccountDisabled, NormalUserAccount",User accounts in SAM hive,False,False,2025-02-04 08:35:29.0046183,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_UserAccounts__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Account\Users,V,(plugin),Username: hans Id: 1001 ValidUserId: True,Created: 2025-02-04 08:25:03.0631997 Last login: 2025-03-10 04:54:40.6298133 Last password change: 2025-02-04 08:25:03.1071312 Last incorrect password:  Expires on: ,"Account flags: PasswordNotRequired, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 08:35:29.0046183,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_UserAccounts__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Account\Users,V,(plugin),Username: defaultuser0 Id: 1000 ValidUserId: True,Created: 2025-02-05 00:10:44.9311944 Last login: 2025-02-04 08:23:09.0174656 Last password change: 2025-02-05 00:10:44.9783902 Last incorrect password:  Expires on: ,"Account flags: AccountDisabled, NormalUserAccount, PasswordDoesNotExpire",User accounts in SAM hive,False,False,2025-02-04 08:35:29.0046183,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_UserAccounts__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Administrators,Comment: Administrators have complete and unrestricted access to the computer/domain,"Users: S-1-5-21-3772742331-1108507784-3781162965-500, S-1-5-21-3772742331-1108507784-3781162965-1001",Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Users,Comment: Users are prevented from making accidental or intentional system-wide changes and can run most applications,"Users: S-1-5-4, S-1-5-11",Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Guests,"Comment: Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",Users: S-1-5-21-3772742331-1108507784-3781162965-501,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Power Users,Comment: Power Users are included for backwards compatibility and possess limited administrative powers,Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Backup Operators,Comment: Backup Operators can override security restrictions for the sole purpose of backing up or restoring files,Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Replicator,Comment: Supports file replication in a domain,Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Remote Desktop Users,Comment: Members in this group are granted the right to logon remotely,Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Network Configuration Operators,Comment: Members in this group can have some administrative privileges to manage configuration of networking features,Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Performance Monitor Users,Comment: Members of this group can access performance counter data locally and remotely,Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
SAM,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SAM,Sam,Built-in User Accounts (SAM),User Accounts,ROOT\SAM\Domains\Builtin\Aliases,Multiple,(plugin),GroupName: Performance Log Users,"Comment: Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer",Users: ,Built-in accounts in SAM hive,False,False,2025-02-05 00:08:55.5249494,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\SAM\20250310070259\20250310070259_SAMBuiltin__SAM.csv
